pair_index,field_1,field_2,avg_weight,std_weight
144,C4,C14,0.0025643888,0.011574434
145,C4,C15,0.00204526,0.01005889
146,C4,C16,0.0020553605,0.009695617
147,C4,C17,0.0014600881,0.00557361
148,C4,C18,0.0020786733,0.009565973
149,C4,C19,0.0013180979,0.0057179765
150,C4,C20,0.003116914,0.01281395
151,C4,C21,0.0014083274,0.007018571
152,C4,C22,0.0007013714,0.0037533517
153,C4,C23,0.0029692466,0.015383664
154,C4,C24,0.0016768869,0.007881905
155,C4,C25,0.0020282022,0.0077955597
156,C4,C26,0.0016806371,0.0073978924
157,C4,I1,0.0014566886,0.008444387
158,C4,I2,0.00040138207,0.0016372016
159,C4,I3,0.0005002853,0.0031378197
160,C4,I4,0.0011784235,0.005938155
161,C4,I5,0.0014704511,0.0050761597
162,C4,I6,0.00078589027,0.0048696543
163,C4,I7,0.0015807339,0.00616475
164,C4,I8,0.0013998718,0.005617184
165,C4,I9,0.0009503593,0.004997567
166,C4,I10,0.0012534295,0.0053670076
167,C4,I11,0.0011187916,0.005727404
168,C4,I12,0.0005874979,0.003315752
169,C4,I13,0.0013414737,0.0059448285
170,C4,C1_freq,0.00091003923,0.00429525
171,C4,C14_freq,0.0009141119,0.0048541822
172,C4,C17_freq,0.001071252,0.0051317946
173,C4,C20_freq,0.0017957512,0.006152235
174,C4,C21_freq,0.0011796781,0.006461805
175,C4,C1_te,0.0009953873,0.0031935666
176,C4,C14_te,0.0011421557,0.00533005
177,C4,C20_te,0.0011170974,0.0047107367
178,C5,C6,0.0002670592,0.0010381491
179,C5,C7,0.000970094,0.0045092558
180,C5,C8,0.00035936822,0.0016054121
181,C5,C9,0.000106938205,0.00027873402
182,C5,C10,0.0010835351,0.004182631
183,C5,C11,0.00094701577,0.005039126
184,C5,C12,0.0006303992,0.0034549139
185,C5,C13,0.0012371122,0.0048901658
186,C5,C14,0.00049035734,0.0024142044
187,C5,C15,0.0009141675,0.004667962
188,C5,C16,0.0009959572,0.0044906866
189,C5,C17,0.00037721556,0.0020944385
190,C5,C18,0.0010424994,0.0035948763
191,C5,C19,0.0008135946,0.0042116
192,C5,C20,0.00035704672,0.001117178
193,C5,C21,0.0011854043,0.004999656
194,C5,C22,0.00010182176,0.0010260963
195,C5,C23,0.00013647198,0.0010168651
196,C5,C24,0.0010048962,0.0044677877
197,C5,C25,0.0002794743,0.001557857
198,C5,C26,0.0005525722,0.0038343733
199,C5,I1,0.00015808422,0.0009301796
200,C5,I2,0.00035286785,0.0007500513
201,C5,I3,7.285407e-05,0.00078582816
202,C5,I4,0.00094998255,0.0014452658
203,C5,I5,0.00042868953,0.0025293187
204,C5,I6,0.00013154137,0.0011742553
205,C5,I7,8.4531704e-05,0.00048164433
206,C5,I8,0.00050255243,0.0017715917
207,C5,I9,0.0002369651,0.001077017
208,C5,I10,0.00010863806,0.0014388751
209,C5,I11,9.005074e-05,0.0005159136
210,C5,I12,0.00011412314,0.00038982768
211,C5,I13,0.000259924,0.002161874
212,C5,C1_freq,0.00013294318,0.0009410791
213,C5,C14_freq,0.00011437295,0.0013863998
214,C5,C17_freq,0.0001890809,0.00066280743
215,C5,C20_freq,0.00030875806,0.0014138402
216,C5,C21_freq,0.00021095033,0.0006343909
217,C5,C1_te,0.00013383277,0.0007864
218,C5,C14_te,0.00015516768,0.0004553992
219,C5,C20_te,0.0008886624,0.0022210015
220,C6,C7,0.0014515225,0.005850204
221,C6,C8,0.0004038754,0.0015586377
222,C6,C9,0.0006042648,0.0011353021
223,C6,C10,0.0015032669,0.00721487
224,C6,C11,0.0016289741,0.006304176
225,C6,C12,0.001129375,0.0065642777
226,C6,C13,0.0019095775,0.010222067
227,C6,C14,0.0003366182,0.0018085412
228,C6,C15,0.0013691982,0.0053825355
229,C6,C16,0.0015945081,0.007022727
230,C6,C17,0.00058866374,0.0023085934
231,C6,C18,0.0012754952,0.0050135874
232,C6,C19,0.00039383472,0.0024001782
233,C6,C20,0.00034666667,0.0006015694
234,C6,C21,0.0013378771,0.00742144
235,C6,C22,0.00025767763,0.0005575083
236,C6,C23,0.00039040917,0.0023167233
237,C6,C24,0.0013145881,0.006014612
238,C6,C25,0.000597775,0.002318355
